Sa;Sz;Str;Spc;Sdr;Sq;Ssk;Sku;Sp;Sv;Sal;Std;Sdq;Spd;Sk;Spk;Svk;Smr1;Smr2;Sxp;Vvv;Vvc;Vmp;Vmc;A;Class;ClassNo.
3,918;60,288;0,597;348,019;0,1194;5,048;-0,136;3,742;28,968;31,321;254,317;98,700;0,541;2949,779;11,453;5,369;5,524;10,012;85,947;9,478;0,600;5,661;0,268;4,548;5698488,305;adhesive;3
4,910;72,326;0,308;407,256;0,1978;6,159;-0,176;3,302;34,877;37,449;313,739;177,800;0,695;4541,896;15,844;5,699;7,008;7,419;89,439;10,951;0,742;6,921;0,286;5,554;5698488,305;adhesive;3
4,891;69,200;0,244;396,780;0,1931;6,557;-0,007;4,056;33,098;36,102;325,219;177,700;0,684;4450,260;12,683;8,748;9,295;16,666;89,101;14,352;0,857;8,261;0,356;4,910;5698488,305;adhesive;3
20,627;144,267;0,393;339,573;0,2415;26,236;0,827;3,403;89,854;54,413;386,633;49,700;0,765;3623,773;62,586;46,242;8,774;13,381;95,020;68,388;1,700;38,116;1,866;22,457;5698488,305;adhesive;3
5,049;93,487;0,439;327,321;0,1117;6,858;0,391;6,291;61,090;32,396;177,492;176,300;0,512;2800,980;14,468;9,240;8,422;10,999;87,775;13,483;0,881;7,217;0,470;5,296;5698488,305;adhesive;3
5,801;148,752;0,373;289,438;0,09481;8,879;2,393;19,727;118,318;30,433;287,870;76,400;0,469;2588,510;14,915;17,675;8,482;11,675;86,854;20,610;0,897;7,891;0,947;5,739;5698488,305;adhesive;3
5,493;114,607;0,706;227,674;0,06332;8,349;2,337;18,148;88,139;26,468;264,636;176,600;0,374;2026,203;14,762;15,859;7,852;10,772;87,077;16,048;0,851;7,425;0,819;5,554;5698488,305;adhesive;3
8,180;253,251;0,874;433,691;0,2825;13,458;3,981;43,123;184,777;68,475;349,491;0,000;0,834;4943,971;19,012;28,783;11,974;13,848;87,895;33,434;1,203;12,030;1,588;7,402;5698488,305;adhesive;3
5,180;76,960;0,644;483,859;0,3485;7,144;0,246;5,604;35,522;41,438;203,047;76,700;0,926;5540,399;14,255;10,538;9,322;10,934;86,856;14,536;0,951;7,189;0,538;5,363;5698488,305;adhesive;3
5,481;104,225;0,682;260,305;0,08519;7,557;0,735;7,969;66,749;37,477;249,816;179,700;0,438;2099,372;15,089;11,080;8,883;10,776;85,713;14,664;0,967;7,621;0,563;5,833;5698488,305;adhesive;3
15,062;255,136;0,758;391,661;0,2403;24,063;3,984;31,101;210,666;44,469;426,567;90,000;0,785;3820,589;38,280;49,295;7,296;15,816;94,410;49,892;1,083;29,320;2,221;14,852;5698488,305;adhesive;3
9,081;223,375;0,629;250,576;0,09259;14,602;4,301;42,870;189,002;34,374;338,156;0,000;0,480;1513,145;22,611;34,725;6,017;13,714;92,803;39,540;0,773;14,197;1,898;8,323;5698488,305;adhesive;3
5,828;135,765;0,628;249,404;0,08694;8,821;1,692;12,736;103,901;31,864;301,573;0,200;0,449;2000,348;14,140;18,092;9,768;12,040;85,333;22,991;1,026;7,701;0,985;5,587;5698488,305;adhesive;3
6,385;138,771;0,648;305,232;0,1452;8,934;1,182;9,768;97,385;41,386;209,007;97,600;0,585;2403,478;18,129;14,419;9,075;11,079;88,165;18,361;0,975;9,162;0,743;6,702;5698488,305;adhesive;3
7,373;190,894;0,803;348,134;0,1686;10,828;2,901;31,590;155,081;35,814;276,903;95,900;0,642;2407,875;20,742;18,973;8,295;11,887;89,012;25,268;0,991;10,800;1,005;7,546;5698488,305;adhesive;3
4,599;66,362;0,204;325,187;0,1217;5,964;-0,379;3,988;29,982;36,379;284,917;179,100;0,550;2611,199;14,274;5,400;8,607;9,716;89,811;10,866;0,800;6,698;0,271;4,989;5698488,305;adhesive;3
5,507;77,733;0,235;575,388;0,3344;7,241;-0,133;3,874;42,364;35,369;233,854;179,000;0,948;3629,929;15,794;7,801;9,892;12,535;88,423;14,239;0,991;8,222;0,384;5,791;5698488,305;adhesive;3
6,192;86,314;0,478;667,947;0,4132;7,970;0,007;3,550;52,582;33,733;81,249;179,100;1,052;3788,930;18,805;8,174;9,603;11,333;89,138;15,384;1,016;9,355;0,403;6,706;5698488,305;adhesive;3
4,567;68,168;0,265;382,397;0,1430;5,817;-0,204;3,338;28,878;39,291;220,320;179,000;0,594;2782,512;14,078;5,143;6,784;10,439;88,498;10,748;0,738;6,838;0,255;5,117;5698488,305;adhesive;3
4,313;58,018;0,219;261,797;0,08410;5,543;0,132;3,438;31,559;26,459;302,654;178,900;0,446;2042,385;13,087;6,528;5,759;11,419;89,359;11,623;0,624;6,666;0,320;4,783;5698488,305;adhesive;3
5,507;76,923;0,455;574,869;0,2923;7,224;0,065;3,928;42,119;34,804;114,070;179,200;0,874;3150,289;16,144;8,763;8,794;11,926;88,877;15,053;0,915;8,299;0,435;5,838;5698488,305;adhesive;3
5,327;68,965;0,520;530,673;0,2595;6,785;0,182;3,496;40,105;28,860;110,731;179,100;0,817;3228,382;16,849;7,884;6,666;10,668;91,100;14,359;0,726;8,160;0,393;5,877;5698488,305;adhesive;3
4,189;81,063;0,221;399,844;0,1597;5,499;-0,246;4,517;45,978;35,085;308,219;179,800;0,633;2982,318;12,764;5,704;7,761;10,041;89,573;10,281;0,731;6,068;0,285;4,487;5698488,305;adhesive;3
4,296;82,087;0,640;310,063;0,1036;5,552;-0,190;3,983;44,766;37,320;327,387;179,800;0,498;2231,110;13,088;5,623;6,945;8,738;87,448;9,878;0,759;5,991;0,280;4,709;5698488,305;adhesive;3
4,961;59,487;0,313;463,160;0,1974;6,529;-0,465;4,033;30,014;29,472;217,895;0,000;0,709;2875,379;15,122;6,409;10,604;8,684;89,051;11,701;0,979;6,794;0,322;5,198;5698488,305;adhesive;3
6,046;86,146;0,328;675,968;0,4520;7,857;-0,013;3,653;48,942;37,204;113,128;48,500;1,093;4333,648;17,693;8,647;9,609;11,472;87,759;15,354;1,012;9,037;0,427;6,632;5698488,305;adhesive;3
4,600;74,577;0,255;453,000;0,1824;6,026;-0,035;3,893;41,853;32,724;114,893;178,900;0,672;2782,336;13,532;6,841;7,566;11,816;88,568;12,053;0,780;6,963;0,336;4,923;5698488,305;adhesive;3
5,075;86,600;0,562;539,036;0,2905;6,829;0,137;5,033;55,264;31,337;240,555;179,200;0,869;3532,840;14,431;8,818;9,110;12,022;88,644;13,976;0,875;7,587;0,440;5,329;5698488,305;adhesive;3
5,708;82,058;0,344;620,389;0,3832;7,406;0,152;3,685;49,528;32,530;74,182;179,100;1,001;3986,801;16,990;8,887;8,261;11,473;88,579;15,442;0,907;8,600;0,443;6,182;5698488,305;adhesive;3
5,987;100,762;0,416;608,065;0,3679;7,887;0,195;4,294;57,323;43,439;77,630;179,100;0,979;4038,687;17,376;9,593;9,718;12,081;88,477;16,038;1,023;8,980;0,479;6,288;5698488,305;adhesive;3
5,846;115,531;0,641;643,179;0,4311;7,973;0,580;6,892;77,032;38,499;67,762;176,700;1,070;4402,067;16,604;11,032;9,937;11,936;88,652;16,446;0,995;8,577;0,567;6,037;5698488,305;adhesive;3
5,819;89,313;0,400;613,348;0,3692;7,901;0,303;5,179;54,279;35,034;95,586;177,500;0,984;4097,785;16,260;10,931;10,147;12,357;88,494;16,938;1,006;8,534;0,564;5,973;5698488,305;adhesive;3
5,223;71,036;0,321;449,034;0,2032;6,966;-0,163;3,990;43,113;27,923;190,742;179,800;0,723;3000,082;14,590;8,068;10,353;11,596;87,301;13,438;1,009;7,546;0,400;5,479;5698488,305;adhesive;3
6,813;88,998;0,440;591,402;0,3358;8,546;0,411;3,450;62,509;26,489;73,239;90,200;0,939;3356,954;21,882;9,900;5,284;10,764;90,427;18,110;0,840;10,587;0,494;7,617;5698488,305;adhesive;3
6,386;93,967;0,570;604,006;0,3981;8,294;0,646;5,184;65,657;28,310;122,554;180,000;1,022;4521,494;19,597;11,388;6,357;10,573;88,552;17,416;0,845;9,660;0,570;7,134;5698488,305;adhesive;3
6,976;91,359;0,486;624,159;0,4017;9,137;0,687;4,887;63,058;28,300;80,226;59,800;1,022;4169,194;21,046;13,184;7,324;11,431;89,307;20,127;0,918;10,738;0,665;7,626;5698488,305;adhesive;3
7,239;111,196;0,673;659,939;0,4556;9,907;0,655;5,277;71,275;39,921;94,057;179,900;1,095;4166,556;19,506;16,097;10,961;13,226;87,726;23,811;1,175;11,087;0,819;7,363;5698488,305;adhesive;3
