Sa;Sz;Str;Spc;Sdr;Sq;Ssk;Sku;Sp;Sv;Sal;Std;Sdq;Spd;Sk;Spk;Svk;Smr1;Smr2;Sxp;Vvv;Vvc;Vmp;Vmc;A;Class;ClassNo.
4,840;79,138;0,432;550,434;0,3000;6,340;-0,268;4,244;34,450;44,687;222,823;0,000;0,885;3355,196;14,426;6,673;8,329;10,479;88,227;12,039;0,852;7,040;0,332;5,233;5698488,305;abrasive;1
4,754;80,193;0,259;587,555;0,3588;6,190;-0,147;4,202;34,932;45,262;110,192;0,000;0,978;3999,992;14,565;6,755;7,625;10,177;89,307;12,087;0,771;6,999;0,337;5,193;5698488,305;abrasive;1
4,582;247,505;0,171;505,508;0,3052;7,089;7,158;179,891;203,992;43,513;38,307;177,400;0,886;3153,631;13,320;8,364;7,468;10,154;87,796;11,215;0,774;6,456;0,419;4,903;5698488,305;abrasive;1
4,323;97,413;0,153;544,290;0,3092;5,722;-0,055;4,840;42,039;55,375;50,322;178,100;0,895;3740,033;12,663;6,923;7,001;11,124;88,233;11,519;0,722;6,390;0,345;4,666;5698488,305;abrasive;1
4,336;78,087;0,188;419,793;0,1620;5,649;-0,057;3,985;45,964;32,122;73,405;0,000;0,633;2218,622;13,005;6,351;6,751;11,081;88,780;11,280;0,706;6,499;0,314;4,719;5698488,305;abrasive;1
4,642;87,470;0,414;566,261;0,3387;6,045;-0,256;4,079;43,895;43,575;203,067;0,000;0,945;3957,604;14,043;6,209;7,702;9,770;88,100;11,408;0,807;6,664;0,311;5,082;5698488,305;abrasive;1
4,865;78,712;0,288;599,822;0,3926;6,372;-0,261;4,263;34,304;44,409;179,512;0,000;1,023;4304,802;14,460;6,535;8,313;11,468;88,700;12,183;0,838;7,336;0,316;5,259;5698488,305;abrasive;1
4,737;77,639;0,439;546,743;0,2995;6,237;-0,166;4,551;38,146;39,493;231,377;0,000;0,886;3533,544;14,156;6,953;7,922;10,774;88,671;12,136;0,811;6,970;0,347;5,089;5698488,305;abrasive;1
4,948;79,159;0,353;561,589;0,3368;6,513;-0,399;4,376;33,724;45,435;275,041;2,300;0,944;3926,296;14,499;6,385;8,967;10,506;87,488;11,895;0,914;7,097;0,318;5,360;5698488,305;abrasive;1
4,752;93,469;0,535;571,803;0,3535;6,256;-0,288;4,677;37,513;55,957;304,460;0,000;0,968;3986,801;14,133;6,610;8,277;11,077;88,778;12,049;0,827;7,018;0,328;5,096;5698488,305;abrasive;1
4,684;236,940;0,131;590,479;0,3941;6,832;5,201;136,773;199,234;37,706;37,146;177,600;1,015;3908,004;13,739;7,757;7,306;9,812;87,230;11,131;0,778;6,615;0,387;5,138;5698488,305;abrasive;1
4,577;79,210;0,154;615,606;0,4056;5,979;-0,126;4,323;40,382;38,829;70,277;0,000;1,042;4368,473;13,865;6,468;7,473;10,037;88,596;11,270;0,771;6,642;0,323;4,988;5698488,305;abrasive;1
4,498;80,190;0,258;592,455;0,3850;5,906;-0,225;4,381;41,576;38,614;121,811;178,400;1,013;4318,170;13,376;6,289;7,565;10,853;88,367;11,295;0,774;6,626;0,312;4,880;5698488,305;abrasive;1
4,927;77,018;0,458;654,697;0,5001;6,469;-0,335;4,465;35,305;41,713;265,702;179,800;1,165;4991,636;14,808;6,491;8,705;10,411;88,615;11,931;0,871;7,182;0,323;5,325;5698488,305;abrasive;1
4,794;85,670;0,490;597,556;0,3924;6,292;-0,389;4,449;33,955;51,715;338,205;0,000;1,023;4273,846;14,233;6,259;8,528;9,666;87,413;11,336;0,878;6,765;0,313;5,227;5698488,305;abrasive;1
5,153;81,529;0,374;637,155;0,4494;6,770;-0,240;4,416;37,164;44,366;206,148;179,900;1,098;4444,280;15,377;7,171;8,823;10,404;88,294;12,681;0,898;7,486;0,358;5,590;5698488,305;abrasive;1
4,840;92,244;0,541;581,252;0,3646;6,295;-0,222;4,211;50,590;41,654;360,363;0,000;0,985;4177,109;14,667;6,345;7,809;10,006;88,177;11,675;0,824;7,028;0,317;5,319;5698488,305;abrasive;1
4,855;72,878;0,599;594,664;0,3764;6,309;-0,199;4,081;33,906;38,972;323,153;175,200;0,999;4143,163;14,651;6,425;7,645;10,789;88,512;12,039;0,804;7,214;0,319;5,335;5698488,305;abrasive;1
4,861;223,660;0,164;561,571;0,3216;7,006;3,523;71,823;175,631;48,029;54,742;178,700;0,922;3345,522;14,421;8,431;7,532;10,704;88,805;12,218;0,783;7,096;0,425;5,215;5698488,305;abrasive;1
4,887;237,499;0,229;581,970;0,3480;6,682;2,470;66,969;192,380;45,119;100,407;179,700;0,955;3542,338;14,687;7,125;7,424;10,946;88,653;12,106;0,789;7,277;0,356;5,339;5698488,305;abrasive;1
