Sa;Sz;Str;Spc;Sdr;Sq;Ssk;Sku;Sp;Sv;Sal;Std;Sdq;Spd;Sk;Spk;Svk;Smr1;Smr2;Sxp;Vvv;Vvc;Vmp;Vmc;A;Class;ClassNo.
7,511;168,370;0,908;710,873;0,5134;9,767;0,214;6,495;115,418;52,952;88,346;41,800;1,165;4420,887;22,997;10,222;10,928;9,613;88,053;17,877;1,205;10,902;0,511;8,382;5698488,305;erosive;2
8,440;169,953;0,676;723,499;0,5539;10,995;-0,369;4,926;84,076;85,878;91,222;177,400;1,214;4508,830;25,449;10,586;14,045;8,540;87,108;18,635;1,487;11,671;0,527;9,384;5698488,305;erosive;2
8,344;144,602;0,891;647,590;0,3690;11,151;-0,894;7,676;53,876;90,726;112,005;68,200;0,980;3342,532;25,317;10,043;15,485;9,020;88,280;19,005;1,520;11,705;0,505;9,126;5698488,305;erosive;2
7,725;190,395;0,834;652,387;0,3678;9,891;-0,196;3,633;57,876;132,519;102,344;90,000;0,982;3418,690;23,621;9,647;11,510;8,998;87,368;17,907;1,266;11,005;0,484;8,736;5698488,305;erosive;2
7,157;106,680;0,887;665,080;0,3726;9,191;-0,178;3,602;61,501;45,179;109,077;0,000;0,994;3401,278;21,751;8,988;10,705;10,019;87,841;17,102;1,167;10,479;0,449;8,028;5698488,305;erosive;2
6,991;155,132;0,929;783,370;0,5743;8,912;-0,092;3,468;66,292;88,840;97,996;60,900;1,245;4501,443;21,591;8,623;9,720;10,086;88,311;16,772;1,090;10,404;0,431;7,874;5698488,305;erosive;2
6,655;121,057;0,832;702,387;0,4321;8,697;-0,329;5,057;60,637;60,420;96,996;32,600;1,075;3700,459;20,411;8,462;11,086;10,229;89,319;15,997;1,105;9,793;0,422;7,298;5698488,305;erosive;2
6,532;79,577;0,851;583,719;0,2575;8,309;-0,336;3,511;38,114;41,463;102,549;180,000;0,817;2684,895;20,423;7,074;10,270;8,371;88,234;14,558;1,082;9,262;0,361;7,385;5698488,305;erosive;2
7,267;171,955;0,769;723,190;0,4843;9,487;0,459;10,468;122,025;49,930;82,861;30,000;1,139;3997,354;22,721;9,575;10,726;9,720;89,275;17,526;1,152;10,699;0,480;8,034;5698488,305;erosive;2
7,413;126,180;0,829;652,381;0,3912;9,476;-0,286;3,672;68,747;57,433;89,781;79,000;1,014;3597,390;22,858;8,647;11,005;9,492;87,850;17,317;1,218;10,789;0,436;8,326;5698488,305;erosive;2
7,647;149,718;0,938;656,269;0,3804;9,931;-0,088;3,947;75,185;74,533;108,183;0,500;0,999;3476,908;23,006;10,635;11,940;10,404;88,103;19,005;1,279;11,212;0,530;8,388;5698488,305;erosive;2
7,562;146,446;0,798;709,948;0,4340;9,747;-0,064;4,004;89,539;56,907;96,286;121,500;1,074;3650,683;22,807;10,116;11,253;9,870;87,646;18,243;1,209;10,988;0,506;8,526;5698488,305;erosive;2
7,952;132,597;0,866;800,358;0,5931;10,273;-0,058;3,780;54,689;77,907;115,902;98,500;1,266;4460,109;24,225;11,235;11,707;10,694;89,012;20,343;1,248;11,877;0,558;8,759;5698488,305;erosive;2
7,701;120,300;0,819;803,189;0,5846;9,968;-0,219;4,109;57,391;62,909;99,347;0,200;1,257;4495,814;23,762;9,857;12,243;9,927;89,036;18,539;1,272;11,286;0,493;8,473;5698488,305;erosive;2
6,606;108,938;0,837;753,122;0,5261;8,571;0,077;3,955;60,378;48,561;108,857;16,800;1,190;4452,898;19,991;9,944;9,248;10,580;88,452;16,952;1,029;9,800;0,496;7,285;5698488,305;erosive;2
6,903;108,628;0,811;735,584;0,4684;8,855;-0,130;3,856;46,608;62,020;100,138;81,400;1,123;3892,526;21,668;8,832;10,148;9,643;89,388;16,695;1,083;10,177;0,443;7,666;5698488,305;erosive;2
7,092;194,247;0,941;780,894;0,5844;9,343;0,369;8,884;118,132;76,115;97,910;61,800;1,258;4476,291;21,645;10,328;10,550;9,751;88,542;17,176;1,135;10,265;0,516;7,818;5698488,305;erosive;2
7,299;149,470;0,906;706,440;0,4205;9,535;0,124;6,013;92,301;57,169;86,426;89,500;1,059;3462,310;22,524;9,896;10,767;9,831;88,932;17,262;1,143;10,719;0,495;8,126;5698488,305;erosive;2
7,766;169,652;0,897;771,354;0,5563;10,152;-0,058;5,175;91,253;78,399;97,131;115,900;1,226;4386,941;23,861;10,507;12,866;10,044;89,481;18,846;1,271;11,379;0,525;8,502;5698488,305;erosive;2
7,385;125,163;0,800;663,288;0,3582;9,600;-0,167;4,025;66,860;58,302;87,759;180,000;0,967;3243,860;22,391;9,812;12,120;10,748;88,993;18,230;1,235;10,980;0,486;8,052;5698488,305;erosive;2
7,667;136,560;0,837;800,136;0,5780;9,774;-0,122;3,659;70,839;65,721;100,935;179,600;1,247;4462,748;23,942;9,504;10,447;9,688;88,653;18,398;1,168;11,353;0,477;8,687;5698488,305;erosive;2
7,153;139,134;0,902;808,423;0,6048;9,203;-0,307;3,750;64,214;74,920;105,635;54,600;1,285;4473,829;21,958;8,314;11,574;9,462;88,062;16,423;1,236;10,301;0,418;7,924;5698488,305;erosive;2
6,560;122,038;0,933;825,022;0,6269;8,361;-0,086;3,433;56,940;65,098;94,090;83,200;1,312;4670,821;20,307;8,374;9,117;9,433;87,958;15,642;1,040;9,542;0,421;7,386;5698488,305;erosive;2
6,972;100,682;0,942;749,156;0,5065;8,892;-0,078;3,435;47,202;53,480;117,946;0,000;1,169;4226,709;21,895;8,851;9,916;10,046;89,415;17,249;1,085;10,414;0,442;7,728;5698488,305;erosive;2
6,971;126,265;0,777;799,527;0,5857;9,013;-0,229;4,179;74,189;52,077;100,770;117,000;1,263;4548,404;21,555;9,017;10,638;9,980;89,013;17,097;1,127;10,265;0,451;7,692;5698488,305;erosive;2
6,717;132,712;0,788;651,166;0,3527;8,643;-0,352;3,944;75,675;57,037;90,190;153,600;0,966;3358,186;20,780;8,003;10,874;8,711;88,132;15,442;1,146;9,510;0,403;7,493;5698488,305;erosive;2
7,207;120,558;0,849;714,495;0,4319;9,463;-0,414;4,171;67,086;53,472;102,674;127,400;1,069;3819,710;21,142;9,238;13,241;9,750;87,100;16,931;1,355;10,091;0,463;7,834;5698488,305;erosive;2
7,049;147,749;0,865;736,791;0,4447;9,214;-0,386;4,659;93,378;54,372;95,078;0,100;1,083;3630,105;21,245;8,598;12,797;9,109;87,835;15,988;1,292;9,876;0,431;7,706;5698488,305;erosive;2
6,907;162,624;0,885;813,693;0,6414;8,987;-0,207;4,245;80,996;81,629;90,341;81,400;1,322;4872,210;20,795;9,389;10,955;9,896;87,859;16,792;1,155;9,974;0,470;7,661;5698488,305;erosive;2
6,565;148,952;0,798;830,871;0,6245;8,517;0,135;4,199;64,866;84,086;82,238;85,200;1,306;4659,916;19,984;9,908;9,072;10,574;88,700;16,902;1,009;9,795;0,494;7,235;5698488,305;erosive;2
6,582;107,427;0,834;772,569;0,5252;8,405;-0,250;3,643;52,647;54,780;80,767;0,200;1,192;4181,682;20,234;7,534;9,733;9,195;87,505;14,913;1,079;9,481;0,380;7,471;5698488,305;erosive;2
6,624;118,385;0,899;722,834;0,4306;8,562;-0,201;3,918;64,832;53,552;87,730;90,000;1,076;3565,731;20,329;8,638;10,631;9,322;88,333;15,685;1,123;9,476;0,432;7,304;5698488,305;erosive;2
6,368;83,454;0,720;588,165;0,2676;8,252;-0,367;4,134;36,916;46,538;96,123;95,300;0,834;2784,095;19,436;8,063;10,469;8,893;87,826;14,841;1,094;8,968;0,405;7,093;5698488,305;erosive;2
6,444;142,891;0,778;766,241;0,5242;8,231;-0,241;3,612;67,720;75,171;82,478;90,200;1,189;4323,622;20,113;7,602;9,645;9,451;88,726;15,246;1,038;9,427;0,382;7,219;5698488,305;erosive;2
6,554;143,490;0,817;787,820;0,5593;8,554;-0,429;5,293;53,164;90,326;79,745;159,800;1,231;4386,589;20,052;8,365;10,792;9,930;88,776;15,861;1,100;9,563;0,418;7,222;5698488,305;erosive;2
6,353;198,095;0,871;746,649;0,4983;8,734;1,913;33,784;149,613;48,482;84,885;90,000;1,160;4064,894;19,397;9,604;9,466;9,305;88,373;14,844;1,014;9,063;0,478;7,032;5698488,305;erosive;2
7,224;102,058;0,903;717,961;0,3720;9,280;0,031;3,881;52,448;49,611;103,126;118,700;0,994;2965,960;22,276;9,918;9,552;10,164;88,534;17,863;1,094;10,723;0,495;8,095;5698488,305;erosive;2
7,513;101,410;0,892;655,612;0,3087;9,638;-0,115;3,555;47,905;53,506;109,028;0,000;0,899;2737,309;23,126;9,840;11,125;9,904;88,582;18,356;1,200;11,040;0,492;8,365;5698488,305;erosive;2
